plec;Wzrost;Waga_przed;Waga_po
0;169;55;60
0;173;59;65
0;177;77;83
1;166;59;59
1;162;61;64
1;165;64;67
0;182;77;82
0;174;70;72
0;185;76;74
0;154;57;63
0;172;63;63
0;208;101;100
1;140;41;41
1;150;48;47
0;180;61;62
0;169;62;62
1;147;51;56
1;173;69;73
0;175;68;70
0;169;68;68
1;148;43;49
0;168;66;70
1;164;57;55
1;160;63;61
1;162;54;56
1;146;50;54
1;147;50;53
0;179;67;70
1;165;66;69
1;172;84;88
1;163;54;59
1;170;67;70
1;162;65;70
1;171;67;72
1;167;55;54
1;174;70;72
1;157;55;60
1;173;66;73
0;152;51;56
0;167;70;72
0;191;91;97
0;165;64;62
0;180;72;71
0;174;69;72
1;164;58;59
0;165;55;56
1;183;93;99
1;166;66;69
0;184;83;82
1;169;62;69
1;178;74;76
0;172;62;67
0;163;59;60
0;157;61;68
0;181;73;76
0;156;59;62
1;158;58;60
1;161;51;51
1;172;60;64
1;135;45;45
1;152;57;56
0;191;77;84
0;134;37;44
0;185;66;73
0;166;57;59
0;173;75;77
0;184;70;71
0;161;62;68
0;171;61;67
1;143;47;47
1;147;50;55
1;162;60;58
0;172;76;78
0;153;61;59
0;169;56;61
0;166;64;64
1;132;40;39
0;164;54;54
1;168;60;63
1;169;72;78
0;165;63;64
1;149;50;56
0;171;49;53
0;165;69;76
0;173;71;75
1;149;50;49
0;164;58;57
0;153;45;47
1;138;40;39
0;174;86;91
1;154;55;59
0;182;70;68
0;157;55;62
1;138;47;54
0;183;68;73
1;148;54;60
1;154;55;57
0;165;57;59
1;149;44;42
