Dzielnica;Metraz;Pokoje;Pietro;Cena
Fabryczna;65;3;2;340000
Krzyki;64;2;0;448000
Fabryczna;47;2;3;315000
Fabryczna;47;2;1;299000
Fabryczna;50;2;4;352000
Krzyki;63;3;3;325000
Krzyki;63;3;4;329000
Psie Pole;35;2;3;230000
Srodmiescie;37;1;4;225000
Srodmiescie;49;2;1;450000
Srodmiescie;49;3;1;350000
Psie Pole;72;4;0;360000
Psie Pole;63;3;2;300000
Psie Pole;64;3;6;329000
Psie Pole;42;2;0;320000
Psie Pole;81;4;6;380000
Psie Pole;79;4;1;370000
Psie Pole;63;3;5;350000
Psie Pole;43;2;1;285000
Psie Pole;64;3;2;360000
Psie Pole;44;2;2;360000
Psie Pole;64;3;1;515000
Psie Pole;64;3;5;349900
Psie Pole;54;2;5;310000
Psie Pole;50;2;2;249000
Krzyki;51;2;1;280000
Psie Pole;65;3;3;290000
Srodmiescie;25;1;4;218000
Srodmiescie;55;2;4;240000
Srodmiescie;34;1;0;210000
Psie Pole;32;1;2;183000
Psie Pole;50;2;3;255000
Fabryczna;98;5;3;550000
Fabryczna;59;3;1;395000
Fabryczna;52;3;7;280000
Fabryczna;59;3;1;325000
Fabryczna;79;4;6;380000
Stare Miasto;33;2;0;400000
Psie Pole;34;2;9;215000
Psie Pole;24;1;9;199900
Psie Pole;42;2;10;248000
Psie Pole;54;3;1;295000
Psie Pole;54;3;5;325000
Fabryczna;36;2;1;200000
Fabryczna;37;2;5;230000
Fabryczna;37;2;1;200000
Krzyki;56;2;3;290000
Krzyki;60;3;4;340000
Psie Pole;42;2;8;249000
Psie Pole;42;2;0;239000
Psie Pole;42;2;6;265000
Psie Pole;54;3;7;320000
Krzyki;79;3;4;359000
Stare Miasto;52;2;6;330000
Stare Miasto;54;2;4;350000
Stare Miasto;27;1;3;185000
Srodmiescie;42;2;1;310000
Krzyki;46;2;1;318000
Krzyki;42;2;1;251000
Krzyki;34;2;1;235000
Krzyki;33;2;0;289000
Krzyki;76;3;2;530000
Srodmiescie;65;4;3;360000
Fabryczna;78;4;8;450000
Fabryczna;78;4;8;360000
Krzyki;50;2;2;380000
Psie Pole;72;3;1;360000
Psie Pole;75;4;3;350000
Psie Pole;50;2;0;320000
Psie Pole;32;1;3;209000
Psie Pole;70;4;7;370000
Psie Pole;50;2;2;310000
Psie Pole;53;2;1;245000
Psie Pole;47;2;1;304900
Psie Pole;50;2;3;280000
Psie Pole;82;4;2;415000
Srodmiescie;60;3;3;390000
Psie Pole;35;2;1;195000
Psie Pole;72;3;6;345000
Psie Pole;26;1;0;190000
Psie Pole;47;2;4;290000
Psie Pole;91;4;8;450000
Krzyki;67;3;0;445000
Krzyki;64;3;3;400000
Psie Pole;54;3;9;350000
Psie Pole;54;3;4;309000
Psie Pole;46;2;3;269000
Srodmiescie;84;4;2;600000
Psie Pole;75;4;4;295000
Srodmiescie;69;3;2;420000
Fabryczna;60;3;9;345000
Fabryczna;41;2;8;235000
Fabryczna;55;3;8;330000
Fabryczna;58;3;10;340000
Fabryczna;25;1;3;155000
Fabryczna;58;3;0;425000
Fabryczna;54;3;1;290000
Krzyki;41;2;3;218000
Krzyki;53;3;0;285000
Srodmiescie;50;2;1;296000
Srodmiescie;76;3;1;350000
Fabryczna;50;2;2;319000
Krzyki;48;2;4;260000
Krzyki;73;4;5;495000
Krzyki;48;2;5;340000
Fabryczna;28;1;0;155000
Psie Pole;46;2;2;330000
Krzyki;37;2;0;225000
Krzyki;75;4;2;520000
Krzyki;53;2;1;365000
Krzyki;73;3;3;460000
Krzyki;64;3;3;423000
Krzyki;100;4;3;620000
