Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Kod stacji,DsJelGorOgin,DsLegAlRzecz,DsWalbrzWyso,DsWrocAlWisn,DsWrocWybCon,KpBydPlPozna,KpGrudPilsud,KpNaklWawrzy,KpToruKaszow,KpWloclOkrze,KpZielBoryTu,LbLubObywate,LbZamoHrubie,LdLodzJanPaw,LdPioTrKraPr,LdRadomsRoln,LdZgieMielcz,LuGorzKosGdy,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKrakAlKras,MpKrakBulwar,MpTarRoSitko,MpTrzebOsZWM,MzBelsIGFPAN,MzOtwoBrzozo,MzPlocMiReja,MzRadTochter,MzWarAlNiepo,OpKKozBSmial,OpOpoleOsAKr,PdAugustowUz,PdBialAlPils,PkNiskoSzkla,PkRzeszPilsu,PmGdaLeczkow,PmMalMickiew,SkKielWarsz1,SlBielPartyz,SlCzestoArmK,SlDabroTysia,SlKatoPlebA4,SlRybniBorki,SlWodzGalczy,SlZabSkloCur,SlZorySikor2,WmElbBazynsk,WmOlsPuszkin,WmOstrPilsud,WpKaliSawick,WpKozieosLes,WpPoznDabrow,WpPoznSzwajc,ZpSzczecPrze,ZpSzczPilsud
Wskaźnik,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
Jednostka,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3
Kod stanowiska,DsJelGorOgin-CO-1g,DsLegAlRzecz-CO-1g,DsWalbrzWyso-CO-1g,DsWrocAlWisn-CO-1g,DsWrocWybCon-CO-1g,KpBydPlPozna-CO-1g,KpGrudPilsud-CO-1g,KpNaklWawrzy-CO-1g,KpToruKaszow-CO-1g,KpWloclOkrze-CO-1g,KpZielBoryTu-CO-1g,LbLubObywate-CO-1g,LbZamoHrubie-CO-1g,LdLodzJanPaw-CO-1g,LdPioTrKraPr-CO-1g,LdRadomsRoln-CO-1g,LdZgieMielcz-CO-1g,LuGorzKosGdy-CO-1g,LuWsKaziWiel-CO-1g,LuZarySzyman-CO-1g,LuZielKrotka-CO-1g,MpKrakAlKras-CO-1g,MpKrakBulwar-CO-1g,MpTarRoSitko-CO-1g,MpTrzebOsZWM-CO-1g,MzBelsIGFPAN-CO-1g,MzOtwoBrzozo-CO-1g,MzPlocMiReja-CO-1g,MzRadTochter-CO-1g,MzWarAlNiepo-CO-1g,OpKKozBSmial-CO-1g,OpOpoleOsAKr-CO-1g,PdAugustowUz-CO-1g,PdBialAlPils-CO-1g,PkNiskoSzkla-CO-1g,PkRzeszPilsu-CO-1g,PmGdaLeczkow-CO-1g,PmMalMickiew-CO-1g,SkKielWarsz1-CO-1g,SlBielPartyz-CO-1g,SlCzestoArmK-CO-1g,SlDabroTysia-CO-1g,SlKatoPlebA4-CO-1g,SlRybniBorki-CO-1g,SlWodzGalczy-CO-1g,SlZabSkloCur-CO-1g,SlZorySikor2-CO-1g,WmElbBazynsk-CO-1g,WmOlsPuszkin-CO-1g,WmOstrPilsud-CO-1g,WpKaliSawick-CO-1g,WpKozieosLes-CO-1g,WpPoznDabrow-CO-1g,WpPoznSzwajc-CO-1g,ZpSzczecPrze-CO-1g,ZpSzczPilsud-CO-1g
01/01/23 01:00,0.23097899999999999,0.38307099999999999,0.35453600000000002,0.46218599999999999,0.35840300000000003,0.23699999999999999,0.34,,0.25700000000000001,0.25,0.251,0.22,0.193,0.39400000000000002,0.33400000000000002,0.42399999999999999,0.34799999999999998,0.21431,0.27005000000000001,0.11183999999999999,0.35538999999999998,1.2557100000000001,0.27500000000000002,0.41414000000000001,0.16930000000000001,0.26622000000000001,0.25602900000000001,0.21912799999999999,0.26788200000000001,0.38400000000000001,0.35526000000000002,,0.251,0.35,0.29942000000000002,0.37315999999999999,,0.326762,0.53400000000000003,0.22799,0.28139999999999998,0.32179999999999997,0.33964,0.29458000000000001,0.48665999999999998,0.32754,0.48431999999999997,0.40329799999999999,0.25933699999999998,0.344526,0.27507999999999999,0.33912999999999999,0.23496,0.32175999999999999,0.13793,0.15981000000000001
01/01/23 02:00,0.23061100000000001,0.32856999999999997,0.36165700000000001,0.44126100000000001,0.318712,0.25700000000000001,0.34300000000000003,,0.34699999999999998,0.24299999999999999,0.23699999999999999,0.20899999999999999,0.186,0.43,0.32400000000000001,0.40200000000000002,0.33200000000000002,0.19474,0.26163999999999998,0.14471999999999999,0.33456999999999998,1.6361699999999999,0.24360000000000001,0.45273999999999998,0.14655000000000001,0.26299,0.27768500000000002,0.21469299999999999,0.25927299999999998,0.33600000000000002,0.36099999999999999,,0.20899999999999999,0.33600000000000002,0.29304000000000002,0.35385,,0.29426600000000003,0.60399999999999998,0.22392999999999999,0.26590000000000003,0.33989999999999998,0.30110999999999999,0.37117,0.32083,0.35294999999999999,0.39826,0.393793,0.23159099999999999,0.34046199999999999,0.22126000000000001,0.32541999999999999,0.22525999999999999,0.32205,0.12903999999999999,0.14421999999999999
01/01/23 03:00,0.22977700000000001,0.32146799999999998,0.34335900000000003,0.41776400000000002,0.31656600000000001,0.23499999999999999,0.32100000000000001,,0.42399999999999999,0.22600000000000001,0.23300000000000001,0.2,0.182,0.41,0.32600000000000001,0.39800000000000002,0.33,0.20493,0.26429000000000002,0.13300000000000001,0.31879000000000002,2.50732,0.28450999999999999,0.41087000000000001,0.13485,0.27106000000000002,0.30725000000000002,0.212259,0.26066400000000001,0.33100000000000002,0.35607,,0.20799999999999999,0.32400000000000001,0.28876000000000002,0.35197000000000001,,0.27577499999999999,0.54700000000000004,0.2165,0.26647999999999999,0.36512,0.28381000000000001,0.26754,0.37725999999999998,0.35838999999999999,0.31845000000000001,0.35637600000000003,0.22775799999999999,0.33479700000000001,0.23760999999999999,0.30319000000000002,0.22278000000000001,0.29743000000000003,0.12277,0.13907
01/01/23 04:00,0.21743899999999999,0.31268800000000002,0.32832299999999998,0.36745899999999998,0.31077500000000002,0.218,0.307,,0.45200000000000001,0.21299999999999999,0.222,0.193,0.17899999999999999,0.40100000000000002,0.31,0.38500000000000001,0.33400000000000002,0.19114,0.26887,0.13488,0.31463000000000002,2.53064,0.27061000000000002,0.41543999999999998,0.11600000000000001,0.26751999999999998,0.34681499999999998,0.198824,0.23605499999999999,0.309,0.33803,,0.19600000000000001,0.311,0.28058,0.33072000000000001,,0.26860499999999998,0.56200000000000006,0.20918999999999999,0.26363999999999999,0.36688999999999999,0.30082999999999999,0.35681000000000002,0.51553000000000004,0.35704000000000002,0.39161000000000001,0.37028299999999997,0.23224400000000001,0.32960099999999998,0.20857999999999999,0.29344999999999999,0.23185,0.29139999999999999,0.10868999999999999,0.13439999999999999
01/01/23 05:00,0.22523699999999999,0.30436800000000003,0.333899,0.29071200000000003,0.30293199999999998,0.20100000000000001,0.32200000000000001,,0.27600000000000002,0.189,0.224,0.17499999999999999,0.16900000000000001,0.379,0.28999999999999998,0.36799999999999999,0.32800000000000001,0.18448000000000001,0.25424999999999998,0.12633,0.31548999999999999,1.4375199999999999,,0.39443,0.14959,0.24703,0.35338000000000003,0.19338900000000001,0.23344699999999999,0.29099999999999998,0.34212999999999999,,0.19,0.314,0.26706000000000002,0.32203999999999999,,0.26596199999999998,0.61599999999999999,0.20566999999999999,0.23801,0.36159999999999998,0.39517000000000002,0.43397999999999998,0.44934000000000002,0.37528,0.41702,0.34987699999999999,0.22126100000000001,0.33287800000000001,0.18851000000000001,0.2873,0.21503,0.28409000000000001,0.10792,0.12836
