Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Kod stacji,DsCzerStraza,DsJelGorOgin,DsKlodzSzkol,DsLegAlRzecz,DsOlawZolnAK,DsOsieczow21,DsStrzegomMOB,DsTrzebniMaj,DsWalbrzWyso,DsWrocBartni,DsWrocWybCon,KpBydWarszaw,KpCiechTezni,KpKoniczynka,KpToruDziewu,KpWloclKalis,KpZielBoryTu,LbBiaPodOrze,LbFlorianRPN,LbJarczWolaM,LbLubObywate,LbWilczopole,LdGajewUjWod,LdLodzCzerni,LdPabiKonsta,LdParzniUjWo,LdPioTrKraPr,LdRadomsRoln,LdZgieMielcz,LuGorzKosGdy,LuSmolBytnic,LuSulecDudka,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKaszowLisz,MpKrakBujaka,MpSzarowSpok,MpSzymbaGorl,MpTarBitStud,MpTrzebOsZWM,MpZakopaSien,MzBelsIGFPAN,MzGranicaKPN,MzGutyDuCzer,MzLegZegrzyn,MzOtwoBrzozo,MzPiasPulask,MzPlocMiReja,MzRadTochter,MzWarChrosci,MzWarKondrat,MzWarMeteo,MzWarWokalna,OpKKozBSmial,OpOlesSlowac,OpOpoleOsAKr,PdAugustowUz,PdBialPPiech,PdBorsukowiz,PkJasloSikor,PkKrempnaMPN,PkMielBierna,PkNiskoSzkla,PkPrzemGrunw,PkRzeszRejta,PmGdaLeczkow,PmGdyPorebsk,PmLebaRabka1,PmLebMalczew,PmLinieKosci,PmMalMickiew,SkGoluUjWody,SkKielTargow,SkNowiParkow,SkWloszKilinMOB,SlBielKossak,SlCzestoBacz,SlDabroTysia,SlGoczaUzdroMOB,SlKatoKossut,SlRybniBorki,SlUstronSana,SlWodzGalczy,SlZabSkloCur,SlZlotPotLes,WmElbBazynsk,WmElkStadion,WmKetrWojPolMOB,WmOlsPuszkin,WmOstrPilsud,WmPuszczaBor,WpBoroDrapal,WpKaliSawick,WpKoniWyszyn,WpPiaskiKrzy,WpPoznSzwajc,ZpKoszChopin,ZpSzczAndrze,ZpWiduBulRyb
Wskaźnik,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
Jednostka,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Kod stanowiska,DsCzerStraza-O3-1g,DsJelGorOgin-O3-1g,DsKlodzSzkol-O3-1g,DsLegAlRzecz-O3-1g,DsOlawZolnAK-O3-1g,DsOsieczow21-O3-1g,DsStrzegomMOB-O3-1g,DsTrzebniMaj-O3-1g,DsWalbrzWyso-O3-1g,DsWrocBartni-O3-1g,DsWrocWybCon-O3-1g,KpBydWarszaw-O3-1g,KpCiechTezni-O3-1g,KpKoniczynka-O3-1g,KpToruDziewu-O3-1g,KpWloclKalis-O3-1g,KpZielBoryTu-O3-1g,LbBiaPodOrze-O3-1g,LbFlorianRPN-O3-1g,LbJarczWolaM-O3-1g,LbLubObywate-O3-1g,LbWilczopole-O3-1g,LdGajewUjWod-O3-1g,LdLodzCzerni-O3-1g,LdPabiKonsta-O3-1g,LdParzniUjWo-O3-1g,LdPioTrKraPr-O3-1g,LdRadomsRoln-O3-1g,LdZgieMielcz-O3-1g,LuGorzKosGdy-O3-1g,LuSmolBytnic-O3-1g,LuSulecDudka-O3-1g,LuWsKaziWiel-O3-1g,LuZarySzyman-O3-1g,LuZielKrotka-O3-1g,MpKaszowLisz-O3-1g,MpKrakBujaka-O3-1g,MpSzarowSpok-O3-1g,MpSzymbaGorl-O3-1g,MpTarBitStud-O3-1g,MpTrzebOsZWM-O3-1g,MpZakopaSien-O3-1g,MzBelsIGFPAN-O3-1g,MzGranicaKPN-O3-1g,MzGutyDuCzer-O3-1g,MzLegZegrzyn-O3-1g,MzOtwoBrzozo-O3-1g,MzPiasPulask-O3-1g,MzPlocMiReja-O3-1g,MzRadTochter-O3-1g,MzWarChrosci-O3-1g,MzWarKondrat-O3-1g,MzWarMeteo-O3-1g,MzWarWokalna-O3-1g,OpKKozBSmial-O3-1g,OpOlesSlowac-O3-1g,OpOpoleOsAKr-O3-1g,PdAugustowUz-O3-1g,PdBialPPiech-O3-1g,PdBorsukowiz-O3-1g,PkJasloSikor-O3-1g,PkKrempnaMPN-O3-1g,PkMielBierna-O3-1g,PkNiskoSzkla-O3-1g,PkPrzemGrunw-O3-1g,PkRzeszRejta-O3-1g,PmGdaLeczkow-O3-1g,PmGdyPorebsk-O3-1g,PmLebaRabka1-O3-1g,PmLebMalczew-O3-1g,PmLinieKosci-O3-1g,PmMalMickiew-O3-1g,SkGoluUjWody-O3-1g,SkKielTargow-O3-1g,SkNowiParkow-O3-1g,SkWloszKilinMOB-O3-1g,SlBielKossak-O3-1g,SlCzestoBacz-O3-1g,SlDabroTysia-O3-1g,SlGoczaUzdroMOB-O3-1g,SlKatoKossut-O3-1g,SlRybniBorki-O3-1g,SlUstronSana-O3-1g,SlWodzGalczy-O3-1g,SlZabSkloCur-O3-1g,SlZlotPotLes-O3-1g,WmElbBazynsk-O3-1g,WmElkStadion-O3-1g,WmKetrWojPolMOB-O3-1g,WmOlsPuszkin-O3-1g,WmOstrPilsud-O3-1g,WmPuszczaBor-O3-1g,WpBoroDrapal-O3-1g,WpKaliSawick-O3-1g,WpKoniWyszyn-O3-1g,WpPiaskiKrzy-O3-1g,WpPoznSzwajc-O3-1g,ZpKoszChopin-O3-1g,ZpSzczAndrze-O3-1g,ZpWiduBulRyb-O3-1g
01/01/23 01:00,62.274999999999999,60.425600000000003,39.363900000000001,46.753900000000002,43.986699999999999,54.300600000000003,50.983600000000003,44.906799999999997,42.991700000000002,40.291699999999999,35.687199999999997,35,42,40.6,38.4,37.799999999999997,36,34.68,,35.950000000000003,36.801000000000002,,45.2,43.5,40.1,45.3,37.799999999999997,36,43.2,43.007800000000003,54.513300000000001,38.344299999999997,38.2333,48.300600000000003,37.690600000000003,52.227800000000002,49.929400000000001,50.2744,29.8642,39.822200000000002,38.356699999999996,5.97,42.463000000000001,43.05,39.1,37.869999999999997,31.27,30.7,45.07,39.5,38.85,38.840000000000003,33.299999999999997,34.85,38.3872,39.593899999999998,33.155900000000003,,37,33,13.8826,33.015900000000002,34.182000000000002,35.033299999999997,53.892099999999999,32.935000000000002,53.745399999999997,61.089500000000001,61.3,56.218899999999998,47.827199999999998,32.813899999999997,36.200000000000003,38,42.9,43.8,62.231699999999996,43.5289,26.878299999999999,29.3567,26.9681,37.888300000000001,50.557299999999998,27.373899999999999,29.762699999999999,49.590699999999998,29.362200000000001,37.4039,24.599399999999999,44.962499999999999,47.594999999999999,34.338900000000002,37.892499999999998,45.545000000000002,36.435000000000002,39.602499999999999,32.447800000000001,35.035600000000002,45.404400000000003,48.065600000000003
01/01/23 02:00,64.853300000000004,60.118299999999998,44.226700000000001,56.318899999999999,44.3994,53.88,50.9938,46.015099999999997,41.311100000000003,40.241700000000002,46.286700000000003,33,41,42.4,40.5,39.1,37,,,37.479999999999997,38.774999999999999,51.36,46.5,46.2,40.700000000000003,44.6,41.2,38.1,47.3,48.81,55.7883,39.97,43.837200000000003,51.426699999999997,41.927199999999999,53.801099999999998,44.46,49.875,31.191600000000001,39.340600000000002,41.951700000000002,3.6366700000000001,41.923000000000002,44.75,38.6,41.37,36.07,35.6,45.97,41.8,41.65,43.34,37.299999999999997,38.85,39.0139,42.090600000000002,31.794699999999999,,38,34,21.832699999999999,33.750300000000003,32.938600000000001,34.124400000000001,54.679600000000001,35.623899999999999,45.520299999999999,60.1997,60.7,55.577199999999998,46.113900000000001,44.318899999999999,36.299999999999997,42,44.1,44.7,62.0456,45.734400000000001,24.679099999999998,42.010599999999997,31.894300000000001,39.807200000000002,50.969099999999997,33.571100000000001,30.367899999999999,50.788400000000003,34.062199999999997,37.742199999999997,,49.546700000000001,49.534999999999997,38.0077,40.605699999999999,46.806100000000001,40.547800000000002,43.283799999999999,34.961100000000002,41.813899999999997,52.097200000000001,48.856699999999996
01/01/23 03:00,65.355000000000004,56.494999999999997,49.127800000000001,54.259399999999999,35.4756,51.5428,50.056800000000003,46.786799999999999,43.290599999999998,43.977800000000002,47.456699999999998,34,43,43.1,40.799999999999997,41.1,40,36.200000000000003,,37.25,40.185000000000002,52.43,48.7,44.8,40.5,44.3,39.700000000000003,34.799999999999997,45.7,46.86,60.251100000000001,42.229599999999998,44.5944,53.142200000000003,44.496699999999997,51.71,41.926699999999997,51.288899999999998,34.273800000000001,37.024999999999999,40.808900000000001,14.2372,41.329000000000001,44.75,39.299999999999997,42.77,37.770000000000003,34.200000000000003,47.67,40.5,42.35,44.04,38.200000000000003,38.35,41.257800000000003,41.416699999999999,36.174500000000002,,39,33,20.936,34.953899999999997,31.509599999999999,34.053899999999999,55.033499999999997,36.370600000000003,44.686199999999999,40.212000000000003,57.5,42.956099999999999,46.110599999999998,47.4011,37.700000000000003,41,42.8,43.1,62.27,46.077199999999998,23.197299999999998,40.323300000000003,31.081499999999998,41.2483,53.383000000000003,34.968899999999998,30.177800000000001,50.969299999999997,42.902200000000001,39.929400000000001,28.112500000000001,48.883899999999997,49.378900000000002,38.3185,40.693399999999997,46.309399999999997,44.434100000000001,45.746600000000001,35.948300000000003,44.405200000000001,55.42,44.022799999999997
01/01/23 04:00,62.514400000000002,56.5139,48.94,55.897199999999998,21.217199999999998,51.567799999999998,49.631300000000003,45.661499999999997,45.921100000000003,47.6372,48.503300000000003,39,46,43.5,40.4,41.9,40,,,38.74,40.043999999999997,52.857999999999997,49.4,44.7,42.3,47,42,41.2,41.9,49.517200000000003,62.106699999999996,43.837200000000003,44.532800000000002,53.148899999999998,48.088900000000002,51.1,50.250599999999999,50.797800000000002,33.8752,36.681100000000001,39.709400000000002,28.706099999999999,42.365000000000002,45.95,41.3,43.47,35.97,37.1,49.47,43.3,42.55,44.04,39.6,38.950000000000003,43.859400000000001,39.756100000000004,34.029899999999998,,41,34,22.248999999999999,33.633200000000002,34.7301,34.292200000000001,55.486499999999999,38.607799999999997,46.727800000000002,46.5548,44.4,45.156700000000001,48.363300000000002,49.227800000000002,38.6,32,40.4,42.6,65.63,47.269399999999997,19.656199999999998,44.348599999999998,27.190300000000001,30.8917,55.525300000000001,25.761700000000001,27.877500000000001,50.246699999999997,38.365000000000002,38.738300000000002,27.1539,49.278300000000002,48.7378,39.9131,41.319299999999998,47.866100000000003,48.084099999999999,46.402299999999997,35.561700000000002,45.405799999999999,56.297499999999999,48.108899999999998
01/01/23 05:00,68.958299999999994,54.547800000000002,43.444400000000002,58.338900000000002,35.461100000000002,50.664400000000001,49.774799999999999,45.003399999999999,45.491100000000003,48.636699999999998,49.732799999999997,42,46,47.7,41.9,43.4,41,36.590000000000003,,39.82,41.030999999999999,53.072000000000003,47.9,45.3,43.1,46.9,43.7,43.4,41.2,49.299399999999999,59.666699999999999,44.916699999999999,44.865600000000001,54.893900000000002,48.76,53.9056,38.251100000000001,46.673299999999998,34.1188,39.183900000000001,39.870600000000003,31.761099999999999,44.664000000000001,46.05,42.4,45.07,36.270000000000003,37.200000000000003,49.57,45.5,43.65,44.64,40.6,42.75,43.917200000000001,37.016100000000002,33.609699999999997,,40,34,17.0444,31.908000000000001,36.238300000000002,34.141100000000002,57.304099999999998,41.089399999999998,47.427100000000003,49.715000000000003,44.5,46.882199999999997,52.368899999999996,47.927199999999999,43.8,19,37.700000000000003,42.4,69.798900000000003,47.65,15.4901,46.365400000000001,23.872299999999999,24.279399999999999,59.520200000000003,27.263300000000001,20.4665,53.919800000000002,40.827199999999998,41.06,34,49.022799999999997,48.713900000000002,40.8553,40.665300000000002,51.431100000000001,50.702199999999998,46.233899999999998,35.926699999999997,48.327300000000001,53.7089,53.056100000000001
