Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
Kod stacji,DsJelGorOgin,DsKlodzSzkol,DsLwowekSlasMOB,DsPolanZdrojMOB,DsWrocAlWisn,DsWrocWybCon,KpBydWarszaw,KpNaklWawrzy,KpSwiecJPawlMOB,KpToruKaszow,KpWloclOkrze,LbLubObywate,LbLukBulNiepMOB,LbZamoHrubie,LdKutn1Maja7MOB,LdLaskNarutoMOB,LdLodzCzerni,LdRadomsRoln,LuGorzKosGdy,LuMiedzyrMOB,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKrakAlKras,MpKrakBulwar,MpTarRoSitko,MzBialaKmiciMOB,MzKonJezZero,MzLegZegrzyn,MzOtwoBrzozo,MzPiasPulask,MzPlocMiReja,MzPultuskMicMOB,MzRadTochter,MzSiedKonars,MzWarAlNiepo,MzWarBajkowa,MzWarChrosci,MzWarTolstoj,MzWarWokalna,MzZyraRoosev,OpKKozBSmial,OpKrap3Maja,OpNysaRodzie,OpOpoleKoszy,PdAugustowUz,PdBialAlPils,PdBialPPiech,PdBialWaszyn,PdBorsukowiz,PdGrajewoWPoMOB,PdSuwPulask2,PkDebiGrottg,PkJarosPruch,PkJasloSikor,PkJedliTokarMOB,PkKrosKletow,PkMielBierna,PkNiskoSzkla,PkPrzemGrunw,PkRymZdrPark,PkRzeszPilsu,PkRzeszSloci,PkRzeszStarz,PmGdaLeczkow,PmGdaWyzwole,PmGdyPorebsk,PmKosTargowa,PmLebMalczew,PmSopBiPlowc,PmUstkaRybacMOB,SkKielTargow,SkLagowZaploMOB,SkStaraZlota,SkWloszKilinMOB,SlBielPartyz,SlGoczaUzdroMOB,SlJastrZdroj,SlKatoKossut,SlKatoPlebA4,SlRaciborzWPMOB,SlZlotPotLes,WmElbBazynsk,WmElkStadion,WmKetrWojPolMOB,WmOlsPuszkin,WpKaliSawick,WpKoscianMayMOB,WpPoznDabrow,WpPoznSzwajc,ZpSwinMatejkMOB,ZpSzczPilsud
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
Jednostka,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Kod stanowiska,DsJelGorOgin-PM2.5-1g,DsKlodzSzkol-PM2.5-1g,DsLwowekSlasMOB-PM2.5-1g,DsPolanZdrojMOB-PM2.5-1g,DsWrocAlWisn-PM2.5-1g,DsWrocWybCon-PM2.5-1g,KpBydWarszaw-PM2.5-1g,KpNaklWawrzy-PM2.5-1g,KpSwiecJPawlMOB-PM2.5-1g,KpToruKaszow-PM2.5-1g,KpWloclOkrze-PM2.5-1g,LbLubObywate-PM2.5-1g,LbLukBulNiepMOB-PM2.5-1g,LbZamoHrubie-PM2.5-1g,LdKutn1Maja7MOB-PM2.5-1g,LdLaskNarutoMOB-PM2.5-1g,LdLodzCzerni-PM2.5-1g,LdRadomsRoln-PM2.5-1g,LuGorzKosGdy-PM2.5-1g,LuMiedzyrMOB-PM2.5-1g,LuWsKaziWiel-PM2.5-1g,LuZarySzyman-PM2.5-1g,LuZielKrotka-PM2.5-1g,MpKrakAlKras-PM2.5-1g,MpKrakBulwar-PM2.5-1g,MpTarRoSitko-PM2.5-1g,MzBialaKmiciMOB-PM2.5-1g,MzKonJezZero-PM2.5-1g,MzLegZegrzyn-PM2.5-1g,MzOtwoBrzozo-PM2.5-1g,MzPiasPulask-PM2.5-1g,MzPlocMiReja-PM2.5-1g,MzPultuskMicMOB-PM2.5-1g,MzRadTochter-PM2.5-1g,MzSiedKonars-PM2.5-1g,MzWarAlNiepo-PM2.5-1g,MzWarBajkowa-PM2.5-1g,MzWarChrosci-PM2.5-1g,MzWarTolstoj-PM2.5-1g,MzWarWokalna-PM2.5-1g,MzZyraRoosev-PM2.5-1g,OpKKozBSmial-PM2.5-1g,OpKrap3MajaMOB-PM2.5-1g,OpNysaRodzie-PM2.5-1g,OpOpoleKoszy-PM2.5-1g,PdAugustowUz-PM2.5-1g,PdBialAlPils-PM2.5-1g,PdBialPPiech-PM2.5-1g,PdBialWaszyn-PM2.5-1g,PdBorsukowiz-PM2.5-1g,PdGrajewoWPoMOB-PM2.5-1g,PdSuwPulask2-PM2.5-1g,PkDebiGrottg-PM2.5-1g,PkJarosPruch-PM2.5-1g,PkJasloSikor-PM2.5-1g,PkJedliTokarMOB-PM2.5-1g,PkKrosKletow-PM2.5-1g,PkMielBierna-PM2.5-1g,PkNiskoSzkla-PM2.5-1g,PkPrzemGrunw-PM2.5-1g,PkRymZdrPark-PM2.5-1g,PkRzeszPilsu-PM2.5-1g,PkRzeszSloci-PM2.5-1g,PkRzeszStarz-PM2.5-1g,PmGdaLeczkow-PM2.5-1g,PmGdaWyzwole-PM2.5-1g,PmGdyPorebsk-PM2.5-1g,PmKosTargowa-PM2.5-1g,PmLebMalczew-PM2.5-1g,PmSopBiPlowc-PM2.5-1g,PmUstkaRybacMOB-PM2.5-1g,SkKielTargow-PM2.5-1g,SkLagowZaploMOB-PM2.5-1g,SkStaraZlota-PM2.5-1g,SkWloszKilinMOB-PM2.5-1g,SlBielPartyz-PM2.5-1g,SlGoczaUzdroMOB-PM2.5-1g,SlJastrZdroj-PM2.5-1g,SlKatoKossut-PM2.5-1g,SlKatoPlebA4-PM2.5-1g,SlRaciborzWPMOB-PM2.5-1g,SlZlotPotLes-PM2.5-1g,WmElbBazynsk-PM2.5-1g,WmElkStadion-PM2.5-1g,WmKetrWojPolMOB-PM2.5-1g,WmOlsPuszkin-PM2.5-1g,WpKaliSawick-PM2.5-1g,WpKoscianMayMOB-PM2.5-1g,WpPoznDabrow-PM2.5-1g,WpPoznSzwajc-PM2.5-1g,ZpSwinMatejkMOB-PM2.5-1g,ZpSzczPilsud-PM2.5-1g
01/01/23 01:00,10.116400000000001,13.2149,14.2563,,65.953299999999999,36.667200000000001,56,19.7,35.5,25.8,19.2,29.2,,19.5,14,9.8000000000000007,21.384,17,27.785,,11.114000000000001,16.130500000000001,14.1745,44.104700000000001,,12.434100000000001,9.4,10.5,33,23.1,26.3,12,,20.3,20.8,23.4,26.8,24.8,26.7,24.2,14.9,18.7606,29.649699999999999,15.39,23.165400000000002,22.1,,16.1858,,5.2,12.3,,13.0517,13.4,12.301299999999999,18.32,11.5,26.560300000000002,11.9,11.434200000000001,20.91,41.986499999999999,46.663400000000003,21.907900000000001,26.947600000000001,25.665500000000002,20.496700000000001,9.2661999999999995,54.815600000000003,18.1401,16.994399999999999,22.4,16.2,28.7,8.9,7.3659600000000003,27.809200000000001,41.8155,38.642099999999999,28.514399999999998,29.2136,13.5519,21.195799999999998,14.6701,19.953199999999999,22.084499999999998,30.516200000000001,,27.394200000000001,8.1621799999999993,25.464700000000001,31.393799999999999
01/01/23 02:00,4.6803400000000002,7.5106900000000003,6.4066999999999998,,14.0009,11.9061,9.5,7.2,21.7,50.9,11.2,18.3,,12.3,7,7.1,6.4151999999999996,19,5.4627600000000003,,4.7799699999999996,9.8000000000000007,8.0681499999999993,66.063000000000002,,10.599299999999999,7.2,8.8000000000000007,13.9,13.3,8.3000000000000007,6,,9.8000000000000007,10,9.4,12.9,11.7,10.9,8.4,8.6,11.1256,10.930400000000001,5.1395499999999998,11.154400000000001,9.9,11.2174,9.0324000000000009,,5.4,8.6999999999999993,10.8,10.260300000000001,11.2,11.3475,18.11,13.6,12.481999999999999,12.24,8.6815599999999993,18.53,24.093599999999999,18.4069,17.872499999999999,7.93797,14.886200000000001,6.1544800000000004,4.5107900000000001,9.4116900000000001,10.2065,3.1227800000000001,11.4,14.6,12.6,8.9,7.2722600000000002,12.592700000000001,31.6449,20.2163,18.890899999999998,13.033099999999999,18.744700000000002,14.325900000000001,9.3911899999999999,9.0145599999999995,5.4918199999999997,10.0832,,7.8194400000000002,12.9847,8.2204200000000007,10.253399999999999
01/01/23 03:00,4.96713,4.9800199999999997,5.9420299999999999,,13.992100000000001,5.9060800000000002,9.5,7.3,17,53.4,9.8000000000000007,15.5,,12.9,6,8,6.4151999999999996,4,8.0740200000000009,,4.5555099999999999,15.2722,5.7790999999999997,69.866299999999995,,9.0629100000000005,6.5,8.6,11.6,11.7,7.9,5.6,,9.5,9.9,7.8,11.5,10.4,8.5,8,8.6,9.1416699999999995,11.2273,6.4488300000000001,6.6925600000000003,11,9.1842000000000006,8.4997000000000007,10,5.2,8.1,8.5,8.82043,11.5,17.009399999999999,16.43,15.3,11.5036,12.91,8.6815599999999993,18.190000000000001,24.1389,18.7883,19.0396,5.6048499999999999,6.9058599999999997,10.0268,3.45947,10.0025,6.4562200000000001,5.8980800000000002,10.1,13.6,7.1,11.1,8.5444899999999997,9.4915400000000005,24.726700000000001,19.981200000000001,18.500699999999998,12.4811,15.268000000000001,5.4683200000000003,8.78627,8.3383900000000004,5.9274199999999997,11.0604,,6.5156499999999999,6.0902200000000004,8.0850399999999993,11.188700000000001
01/01/23 04:00,5.25413,3.8718599999999999,6.3929999999999998,,6.3099299999999996,5.3388600000000004,8.1999999999999993,7.1,14,49.2,8.6,16,,12.9,5,7.4,5.4351000000000003,16,5.9382599999999996,,5.2055100000000003,12.321300000000001,14.5983,70.578900000000004,,7.7382299999999997,6.4,8.6999999999999993,9.6999999999999993,11.9,8,5.3,,8,10.6,8.6999999999999993,11.4,10.5,8.8000000000000007,7.9,7.4,7.7086100000000002,10.935499999999999,4.4146000000000001,7.1627999999999998,9.8000000000000007,9.9017999999999997,8.8802000000000003,10,5.0999999999999996,7.7,7.9,12.577,10.9,13.9414,14.75,16,8.9460300000000004,11.4,8.1654400000000003,17.170000000000002,23.676100000000002,18.0275,19.562100000000001,5.6919000000000004,4.6771799999999999,6.8861100000000004,3.9753599999999998,6.8640400000000001,6.2497199999999999,5.5191499999999998,11.5,12.1,6.7,11.7,6.0122200000000001,6.4864300000000004,21.0168,19.399899999999999,19.317,13.382199999999999,18.0731,5.1886299999999999,8.6267600000000009,9.1640499999999996,6.25718,11.511799999999999,,6.3068499999999998,5.2204800000000002,8.80213,12.4909
01/01/23 05:00,9.1160499999999995,5.7332799999999997,8.36829,,11.0893,5.8442999999999996,6.2,7.3,11.2,11.4,7.4,15,,12.5,5,7.7,5.4351000000000003,11,6.9053899999999997,,4.8270400000000002,9.69984,14.164899999999999,60.590200000000003,,7.3419499999999998,6.1,8.1999999999999993,9.1,11.8,7.3,5.3,,8,10.7,8.1999999999999993,10.199999999999999,9.9,7.8,6.7,6.7,7.5869400000000002,10.170500000000001,4.1222500000000002,7.2352100000000004,8.9,11.4566,10.554399999999999,16,6.1,7.2,7.3,11.2409,11.3,10.6,13.84,16.600000000000001,9.9777299999999993,11.48,8.6815599999999993,15.13,23.194299999999998,17.311900000000001,17.874500000000001,6.2432499999999997,5.0921500000000002,7.5600300000000002,4.81487,6.1482799999999997,6.6732500000000003,5.58101,12.2,13.3,5.7,11.3,5.2072399999999996,5.9168500000000002,17.8186,17.5871,17.243099999999998,12.6828,9.9448299999999996,6.4782799999999998,8.4232300000000002,7.9138599999999997,6.7067899999999998,8.4514899999999997,,6.8406900000000004,5.67849,10.093999999999999,11.820399999999999
