Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
Kod stacji,DsCzerStraza,DsJelGorOgin,DsKlodzSzkol,DsLegAlRzecz,DsOlawZolnAK,DsOsieczow21,DsStrzegomMOB,DsTrzebniMaj,DsWalbrzWyso,DsWrocAlWisn,DsWrocBartni,DsWrocWybCon,KpBydPlPozna,KpBydWarszaw,KpCiechTezni,KpInowSolank,KpKoniczynka,KpNaklWawrzy,KpSwiecJPawlMOB,KpToruDziewu,KpToruKaszow,KpWloclKalis,KpWloclOkrze,KpZielBoryTu,LbFlorianRPN,LbLubObywate,LbZamoHrubie,LdGajewUjWod,LdKutn1Maja7MOB,LdLodzCzerni,LdLodzGdansk,LdLodzJanPaw,LdPabiKonsta,LdParzniUjWo,LdPioTrKraPr,LdRadomsRoln,LdZgieMielcz,LuGorzKosGdy,LuMiedzyrMOB,LuSmolBytnic,LuSulecDudka,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKaszowLisz,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MpKrakDietla,MpSkawOsOgro,MpSzarowSpok,MpSzymbaGorl,MpTarBitStud,MpTarRoSitko,MpTrzebOsZWM,MpZakopaSien,MzBelsIGFPAN,MzGranicaKPN,MzGutyDuCzer,MzLegZegrzyn,MzOtwoBrzozo,MzPiasPulask,MzPlocMiReja,MzRadTochter,MzWarAlNiepo,MzWarChrosci,MzWarKondrat,MzWarWokalna,OpKKozBSmial,OpKrap3Maja,OpOlesSlowac,OpOpoleOsAKr,PdAugustowUz,PdBialAlPils,PdBialPPiech,PdBialWaszyn,PdBorsukowiz,PdGrajewoWPoMOB,PdLomSikorsk,PkJasloSikor,PkKrempnaMPN,PkMielBierna,PkNiskoSzkla,PkPrzemGrunw,PkRzeszPilsu,PkRzeszRejta,PmGdaLeczkow,PmGdaWyzwole,PmGdyPorebsk,PmLebMalczew,PmLinieKosci,PmMalMickiew,PmSopBiPlowc,SkGoluUjWody,SkKielTargow,SkKielWarsz1,SkNowiParkow,SlBielKossak,SlBielPartyz,SlCzestoArmK,SlCzestoBacz,SlDabroTysia,SlGoczaUzdroMOB,SlJastrZdroj,SlKatoKossut,SlKatoPlebA4,SlRybniBorki,SlSosnoLubel,SlTychyTolst,SlUstronSana,SlWodzGalczy,SlZabSkloCur,SlZlotPotLes,SlZywieKoper,WmElbBazynsk,WmElkStadion,WmKetrWojPolMOB,WmOlsPuszkin,WmOstrPilsud,WmPuszczaBor,WpBoroDrapal,WpKaliSawick,WpKoniWyszyn,WpKozieosLes,WpPiaskiKrzy,WpPoznDabrow,WpPoznSzwajc,ZpKoszArKraj,ZpKoszChopin,ZpSwinMatejkMOB,ZpSzczAndrze,ZpSzczecPrze,ZpSzczPilsud,ZpWiduBulRyb
Wskaźnik,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
Jednostka,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Kod stanowiska,DsCzerStraza-NO-1g,DsJelGorOgin-NO-1g,DsKlodzSzkol-NO-1g,DsLegAlRzecz-NO-1g,DsOlawZolnAK-NO-1g,DsOsieczow21-NO-1g,DsStrzegomMOB-NO-1g,DsTrzebniMaj-NO-1g,DsWalbrzWyso-NO-1g,DsWrocAlWisn-NO-1g,DsWrocBartni-NO-1g,DsWrocWybCon-NO-1g,KpBydPlPozna-NO-1g,KpBydWarszaw-NO-1g,KpCiechTezni-NO-1g,KpInowSolank-NO-1g,KpKoniczynka-NO-1g,KpNaklWawrzy-NO-1g,KpSwiecJPawlMOB-NO-1g,KpToruDziewu-NO-1g,KpToruKaszow-NO-1g,KpWloclKalis-NO-1g,KpWloclOkrze-NO-1g,KpZielBoryTu-NO-1g,LbFlorianRPN-NO-1g,LbLubObywate-NO-1g,LbZamoHrubie-NO-1g,LdGajewUjWod-NO-1g,LdKutn1Maja7MOB-NO-1g,LdLodzCzerni-NO-1g,LdLodzGdansk-NO-1g,LdLodzJanPaw-NO-1g,LdPabiKonsta-NO-1g,LdParzniUjWo-NO-1g,LdPioTrKraPr-NO-1g,LdRadomsRoln-NO-1g,LdZgieMielcz-NO-1g,LuGorzKosGdy-NO-1g,LuMiedzyrMOB-NO-1g,LuSmolBytnic-NO-1g,LuSulecDudka-NO-1g,LuWsKaziWiel-NO-1g,LuZarySzyman-NO-1g,LuZielKrotka-NO-1g,MpKaszowLisz-NO-1g,MpKrakAlKras-NO-1g,MpKrakBujaka-NO-1g,MpKrakBulwar-NO-1g,MpKrakDietla-NO-1g,MpSkawOsOgro-NO-1g,MpSzarowSpok-NO-1g,MpSzymbaGorl-NO-1g,MpTarBitStud-NO-1g,MpTarRoSitko-NO-1g,MpTrzebOsZWM-NO-1g,MpZakopaSien-NO-1g,MzBelsIGFPAN-NO-1g,MzGranicaKPN-NO-1g,MzGutyDuCzer-NO-1g,MzLegZegrzyn-NO-1g,MzOtwoBrzozo-NO-1g,MzPiasPulask-NO-1g,MzPlocMiReja-NO-1g,MzRadTochter-NO-1g,MzWarAlNiepo-NO-1g,MzWarChrosci-NO-1g,MzWarKondrat-NO-1g,MzWarWokalna-NO-1g,OpKKozBSmial-NO-1g,OpKrap3MajaMOB-NO-1g,OpOlesSlowac-NO-1g,OpOpoleOsAKr-NO-1g,PdAugustowUz-NO-1g,PdBialAlPils-NO-1g,PdBialPPiech-NO-1g,PdBialWaszyn-NO-1g,PdBorsukowiz-NO-1g,PdGrajewoWPoMOB-NO-1g,PdLomSikorsk-NO-1g,PkJasloSikor-NO-1g,PkKrempnaMPN-NO-1g,PkMielBierna-NO-1g,PkNiskoSzkla-NO-1g,PkPrzemGrunw-NO-1g,PkRzeszPilsu-NO-1g,PkRzeszRejta-NO-1g,PmGdaLeczkow-NO-1g,PmGdaWyzwole-NO-1g,PmGdyPorebsk-NO-1g,PmLebMalczew-NO-1g,PmLinieKosci-NO-1g,PmMalMickiew-NO-1g,PmSopBiPlowc-NO-1g,SkGoluUjWody-NO-1g,SkKielTargow-NO-1g,SkKielWarsz1-NO-1g,SkNowiParkow-NO-1g,SlBielKossak-NO-1g,SlBielPartyz-NO-1g,SlCzestoArmK-NO-1g,SlCzestoBacz-NO-1g,SlDabroTysia-NO-1g,SlGoczaUzdroMOB-NO-1g,SlJastrZdroj-NO-1g,SlKatoKossut-NO-1g,SlKatoPlebA4-NO-1g,SlRybniBorki-NO-1g,SlSosnoLubel-NO-1g,SlTychyTolst-NO-1g,SlUstronSana-NO-1g,SlWodzGalczy-NO-1g,SlZabSkloCur-NO-1g,SlZlotPotLes-NO-1g,SlZywieKoper-NO-1g,WmElbBazynsk-NO-1g,WmElkStadion-NO-1g,WmKetrWojPolMOB-NO-1g,WmOlsPuszkin-NO-1g,WmOstrPilsud-NO-1g,WmPuszczaBor-NO-1g,WpBoroDrapal-NO-1g,WpKaliSawick-NO-1g,WpKoniWyszyn-NO-1g,WpKozieosLes-NO-1g,WpPiaskiKrzy-NO-1g,WpPoznDabrow-NO-1g,WpPoznSzwajc-NO-1g,ZpKoszArKraj-NO-1g,ZpKoszChopin-NO-1g,ZpSwinMatejkMOB-NO-1g,ZpSzczAndrze-NO-1g,ZpSzczecPrze-NO-1g,ZpSzczPilsud-NO-1g,ZpWiduBulRyb-NO-1g
01/01/23 01:00,0.34604000000000001,0.24041999999999999,0.58374000000000004,2.1211199999999999,0.28488999999999998,0.31146000000000001,,3.2686199999999999,0.29061999999999999,23.850999999999999,0.75627999999999995,0.94367000000000001,4,1.8,0.3,1,1,1.4,2.2999999999999998,1.2,1.4,1.6,3.4,0.5,,1.4,0.4,0.8,1.1000000000000001,0.7,2.4,1.2,1.3,0.5,2,1.5,2,3.2710300000000001,,0.9,,0.66507000000000005,1.56288,0.58159000000000005,0.33876000000000001,149.82900000000001,0.45204,82.253900000000002,126.438,2.8933900000000001,0.43802000000000002,0.20508000000000001,1.62531,2.8965399999999999,8.0085700000000006,36.371299999999998,1.1000000000000001,0.3,0.1,1.4,0.44,4.4000000000000004,1.1000000000000001,1.9,27.67,1.33,0.64,0.8,1.23291,1.72417,,,0.4,2.4,0,3.4,0,0.6,1.4,12.9968,0.92398000000000002,1.5452399999999999,1.7572099999999999,0.65286999999999995,,1.6079399999999999,1.37967,0.90820999999999996,0.96386000000000005,,4.3807200000000002,2.5695100000000002,1.6411899999999999,0,2.2999999999999998,3.3,2,,0.71421999999999997,2.6291199999999999,0.57743,1.6393200000000001,2.4033600000000002,3.0180899999999999,6.9631100000000004,9.2288399999999999,0.53412999999999999,11.1501,0.84450000000000003,1.9325000000000001,1.2172099999999999,2.1576599999999999,0.27850000000000003,0.24801000000000001,1.645,3.5338599999999998,,5.5623100000000001,0.70662999999999998,0.18648999999999999,0.41933999999999999,1.3917999999999999,0.43280999999999997,1.3429599999999999,0.89014000000000004,3.7773699999999999,0.45706999999999998,,5.7231500000000004,0.77383000000000002,8.94238,1.0488599999999999,2.4434300000000002,0.42155999999999999
01/01/23 02:00,0.17943000000000001,5.8909999999999997E-2,0.11196,0.75461999999999996,0.16386000000000001,0.54388000000000003,,3.8788,0.36925000000000002,34.1584,0.39523000000000003,0.77844000000000002,5.3,0.8,0.3,1.2,0.9,0.2,1.4,0.1,0.7,0.1,3.9,0.3,,1.9,0.3,0.6,1,0.5,2.5,1.9,0.5,0.6,0.8,1.2,1.1000000000000001,0.88295000000000001,,0.9,,0.82647999999999999,9.1329999999999995E-2,0.28611999999999999,0.33975,188.679,1.33083,83.622799999999998,182.79400000000001,1.00972,0.42277999999999999,0.2056,0.73128000000000004,2.47323,0.84238000000000002,85.182900000000004,0.2,0.2,0.1,0.7,0.34,4.2,0.8,1.4,24.57,0.63,0.24,0.2,0.31209999999999999,0.97458,,,0,2.7,0.3,0,0,1.1000000000000001,0.6,8.0853599999999997,0.95931,0.77834000000000003,1.26187,0.70071000000000006,,0.66957,0.92347000000000001,1.0621700000000001,0.78761000000000003,,4.3523100000000001,1.6249100000000001,1.76416,0,2.2000000000000002,3.6,1,,0.89356999999999998,2.5040499999999999,0.22931000000000001,1.3597999999999999,0.68955999999999995,1.3460700000000001,1.0658399999999999,12.440899999999999,0.62456,0.97602,1.0152699999999999,0.53586,0.97126999999999997,0.85246,0.31106,0.22342000000000001,0.68100000000000005,2.36341,0.77393999999999996,0.12712999999999999,0.26013999999999998,0.19219,0.27626000000000001,0.88436999999999999,0.42604999999999998,0.84001000000000003,0.70825000000000005,2.9037799999999998,0.45992,,0.31236999999999998,0.14052999999999999,8.6249999999999993E-2,0.19395000000000001,1.2043900000000001,0.49291000000000001
01/01/23 03:00,0.1769,0.23107,0.25813999999999998,0.79134000000000004,0.55928999999999995,0.24390999999999999,,3.79989,0.42259000000000002,24.220300000000002,0.32335999999999998,0.67001999999999995,6.4,0.5,0.3,1,0.9,0.2,0.7,0.1,1.1000000000000001,0.1,3.1,0.3,,1.5,0.4,0.7,0.8,0.5,1.5,0.7,0.4,0.5,1,1.1000000000000001,1,1.1070599999999999,,0.8,,0.32318000000000002,0.11811000000000001,0.35504999999999998,0.7681,354.09,1.44028,65.6464,150.50899999999999,1.0374300000000001,0.42520999999999998,0.15726999999999999,0.31491999999999998,2.23394,1.13452,44.776400000000002,0.1,0.4,0.1,0.4,0.24,3.8,0.6,2.1,18.87,0.93,0.54,0.21,0.33937,1.1893400000000001,,,0.1,1.3,0,0,0,0.5,1,8.7708300000000001,1.16567,0.61346000000000001,1.0841700000000001,0.64002000000000003,,0.46484999999999999,0.94840999999999998,1.0039,0.76524999999999999,,4.3020899999999997,1.24319,1.0093799999999999,0,1.9,3.7,1,,0.85353000000000001,2.9796399999999998,0.34570000000000001,1.4651700000000001,0.67620999999999998,1.6751400000000001,1.12992,10.5419,0.7198,1.0958699999999999,1.22899,0.45654,0.64636000000000005,1.0427599999999999,0.27017999999999998,0.3599,0.30031999999999998,2.3045300000000002,1.26813,0.12262000000000001,0.88329000000000002,0.18718000000000001,0.27145999999999998,0.85472999999999999,0.40901999999999999,0.22106999999999999,0.52790000000000004,3.0804399999999998,0.38302999999999998,,0.27928999999999998,0.10184,0.1,0.16975999999999999,1.4236599999999999,0.7198
01/01/23 04:00,0.18659999999999999,0.29203000000000001,8.6679999999999993E-2,0.80969999999999998,1.0535399999999999,0.45590000000000003,,3.8064,0.20297999999999999,18.5242,0.21978,0.41231000000000001,5.0999999999999996,0.3,0.3,1.1000000000000001,0.9,0.2,0.5,0.1,1.5,0.1,3.2,0.2,,1.4,0.3,0.7,0.7,0.5,1.4,1.1000000000000001,0.3,0.5,0.7,0.8,1.1000000000000001,0.93906000000000001,,0.7,,0.44198999999999999,0.11215,0.36509000000000003,0.36014000000000002,392.99799999999999,0.38034000000000001,,170.31200000000001,1.1240300000000001,0.35938999999999999,0.1804,0.86255999999999999,2.1508699999999998,0.73026000000000002,7.5214299999999996,0.1,0.1,0.1,0.3,0.24,3.8,0.5,1.5,18.97,0.93,0.14000000000000001,0.51,0.25286999999999998,0.85819999999999996,,,0,1.2,0,0,0,0.8,1.3,6.8140499999999999,0.49548999999999999,0.50573000000000001,1.2182299999999999,0.79544999999999999,,0.83930000000000005,0.91134999999999999,0.84591000000000005,0.62058000000000002,,4.5452500000000002,1.43197,1.1223000000000001,0,2.2000000000000002,1.9,1,,0.68954000000000004,2.9561999999999999,0.32440000000000002,1.3970899999999999,0.60292000000000001,3.78952,1.1739900000000001,12.568300000000001,0.74690000000000001,0.63526000000000005,1.08013,0.43486000000000002,0.92576000000000003,0.91718,0.26143,0.67701,0.56218999999999997,2.3717199999999998,1.8708499999999999,0.21787999999999999,0.32838000000000001,0.19541,0.25746999999999998,0.75556000000000001,0.41147,8.1809999999999994E-2,0.51878999999999997,2.3963199999999998,0.40666999999999998,,0.24837000000000001,8.8679999999999995E-2,8.0710000000000004E-2,0.22169,1.20197,0.68169000000000002
01/01/23 05:00,0.26868999999999998,0.16907,0.25363999999999998,0.77124999999999999,1.09633,0.29552,,2.72173,0.48771999999999999,8.6049900000000008,0.14316000000000001,0.79161000000000004,4.3,0.2,0.3,0.9,0.7,0.1,0.4,0.1,1,0.1,3.5,0.2,,1.6,0.2,0.5,0.9,0.5,1.1000000000000001,0.7,0.2,0.5,0.6,0.9,1.2,1.0692999999999999,,0.7,,0.54764000000000002,0.13580999999999999,0.29824000000000001,0.39427000000000001,131.191,0.71736999999999995,31.906600000000001,284.57799999999997,1.09528,0.34345999999999999,0.27313999999999999,0.73058999999999996,2.1223000000000001,0.73517999999999994,3.94523,0.2,0.1,0.1,0.5,0.24,3.5,0.4,1.2,17.37,0.43,0.34,0.21,0.26017000000000001,0.94340999999999997,,,0,1,0.1,0,0,0.5,0.3,10.386699999999999,0.70645000000000002,0.24975,1.7364200000000001,0.68132999999999999,,0.14721999999999999,1.0076499999999999,0.84072999999999998,0.60853999999999997,,4.0786699999999998,1.3543799999999999,0.94932000000000005,0,2.9,5.9,1,,0.89783999999999997,4.2099799999999998,0.56069999999999998,1.9693099999999999,0.65725,0.68174999999999997,1.0703400000000001,15.8508,0.55937000000000003,0.91127999999999998,0.80035000000000001,0.52019000000000004,0.95648999999999995,1.41778,0.23916000000000001,0.43915999999999999,0.42225000000000001,2.4843000000000002,0.67962,0.21199000000000001,0.19363,0.15154000000000001,0.25821,0.73270999999999997,0.37642999999999999,0.16456999999999999,0.60033000000000003,2.70668,0.38046999999999997,,0.27922999999999998,0.14815,0.16938,0.15944,1.27783,0.45757999999999999
