Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
Kod stacji,DsCzerStraza,DsJelGorOgin,DsKlodzSzkol,DsLegAlRzecz,DsOlawZolnAK,DsOsieczow21,DsStrzegomMOB,DsTrzebniMaj,DsWalbrzWyso,DsWrocAlWisn,DsWrocBartni,DsWrocWybCon,KpBydPlPozna,KpBydWarszaw,KpCiechTezni,KpInowSolank,KpKoniczynka,KpNaklWawrzy,KpSwiecJPawlMOB,KpToruDziewu,KpToruKaszow,KpWloclKalis,KpWloclOkrze,KpZielBoryTu,LbFlorianRPN,LbLubObywate,LbZamoHrubie,LdGajewUjWod,LdKutn1Maja7MOB,LdLodzCzerni,LdLodzGdansk,LdLodzJanPaw,LdPabiKonsta,LdParzniUjWo,LdPioTrKraPr,LdRadomsRoln,LdZgieMielcz,LuGorzKosGdy,LuMiedzyrMOB,LuSmolBytnic,LuSulecDudka,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKaszowLisz,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MpKrakDietla,MpSkawOsOgro,MpSzarowSpok,MpSzymbaGorl,MpTarBitStud,MpTarRoSitko,MpTrzebOsZWM,MpZakopaSien,MzBelsIGFPAN,MzGranicaKPN,MzGutyDuCzer,MzLegZegrzyn,MzOtwoBrzozo,MzPiasPulask,MzPlocMiReja,MzRadTochter,MzWarAlNiepo,MzWarChrosci,MzWarKondrat,MzWarWokalna,OpKKozBSmial,OpKrap3Maja,OpOlesSlowac,OpOpoleOsAKr,PdAugustowUz,PdBialAlPils,PdBialPPiech,PdBialWaszyn,PdBorsukowiz,PdGrajewoWPoMOB,PdLomSikorsk,PkJasloSikor,PkKrempnaMPN,PkMielBierna,PkNiskoSzkla,PkPrzemGrunw,PkRzeszPilsu,PkRzeszRejta,PmGdaLeczkow,PmGdaWyzwole,PmGdyPorebsk,PmLebMalczew,PmLinieKosci,PmMalMickiew,PmSopBiPlowc,SkGoluUjWody,SkKielTargow,SkKielWarsz1,SkNowiParkow,SlBielKossak,SlBielPartyz,SlCzestoArmK,SlCzestoBacz,SlDabroTysia,SlGoczaUzdroMOB,SlJastrZdroj,SlKatoKossut,SlKatoPlebA4,SlRybniBorki,SlSosnoLubel,SlTychyTolst,SlUstronSana,SlWodzGalczy,SlZabSkloCur,SlZlotPotLes,SlZywieKoper,WmElbBazynsk,WmElkStadion,WmKetrWojPolMOB,WmOlsPuszkin,WmOstrPilsud,WmPuszczaBor,WpBoroDrapal,WpKaliSawick,WpKoniWyszyn,WpKozieosLes,WpPiaskiKrzy,WpPoznDabrow,WpPoznSzwajc,ZpKoszArKraj,ZpKoszChopin,ZpSwinMatejkMOB,ZpSzczAndrze,ZpSzczecPrze,ZpSzczPilsud,ZpWiduBulRyb
Wskaźnik,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx,NOx
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
Jednostka,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Kod stanowiska,DsCzerStraza-NOx-1g,DsJelGorOgin-NOx-1g,DsKlodzSzkol-NOx-1g,DsLegAlRzecz-NOx-1g,DsOlawZolnAK-NOx-1g,DsOsieczow21-NOx-1g,DsStrzegomMOB-NOx-1g,DsTrzebniMaj-NOx-1g,DsWalbrzWyso-NOx-1g,DsWrocAlWisn-NOx-1g,DsWrocBartni-NOx-1g,DsWrocWybCon-NOx-1g,KpBydPlPozna-NOx-1g,KpBydWarszaw-NOx-1g,KpCiechTezni-NOx-1g,KpInowSolank-NOx-1g,KpKoniczynka-NOx-1g,KpNaklWawrzy-NOx-1g,KpSwiecJPawlMOB-NOx-1g,KpToruDziewu-NOx-1g,KpToruKaszow-NOx-1g,KpWloclKalis-NOx-1g,KpWloclOkrze-NOx-1g,KpZielBoryTu-NOx-1g,LbFlorianRPN-NOx-1g,LbLubObywate-NOx-1g,LbZamoHrubie-NOx-1g,LdGajewUjWod-NOx-1g,LdKutn1Maja7MOB-NOx-1g,LdLodzCzerni-NOx-1g,LdLodzGdansk-NOx-1g,LdLodzJanPaw-NOx-1g,LdPabiKonsta-NOx-1g,LdParzniUjWo-NOx-1g,LdPioTrKraPr-NOx-1g,LdRadomsRoln-NOx-1g,LdZgieMielcz-NOx-1g,LuGorzKosGdy-NOx-1g,LuMiedzyrMOB-NOx-1g,LuSmolBytnic-NOx-1g,LuSulecDudka-NOx-1g,LuWsKaziWiel-NOx-1g,LuZarySzyman-NOx-1g,LuZielKrotka-NOx-1g,MpKaszowLisz-NOx-1g,MpKrakAlKras-NOx-1g,MpKrakBujaka-NOx-1g,MpKrakBulwar-NOx-1g,MpKrakDietla-NOx-1g,MpSkawOsOgro-NOx-1g,MpSzarowSpok-NOx-1g,MpSzymbaGorl-NOx-1g,MpTarBitStud-NOx-1g,MpTarRoSitko-NOx-1g,MpTrzebOsZWM-NOx-1g,MpZakopaSien-NOx-1g,MzBelsIGFPAN-NOx-1g,MzGranicaKPN-NOx-1g,MzGutyDuCzer-NOx-1g,MzLegZegrzyn-NOx-1g,MzOtwoBrzozo-NOx-1g,MzPiasPulask-NOx-1g,MzPlocMiReja-NOx-1g,MzRadTochter-NOx-1g,MzWarAlNiepo-NOx-1g,MzWarChrosci-NOx-1g,MzWarKondrat-NOx-1g,MzWarWokalna-NOx-1g,OpKKozBSmial-NOx-1g,OpKrap3MajaMOB-NOx-1g,OpOlesSlowac-NOx-1g,OpOpoleOsAKr-NOx-1g,PdAugustowUz-NOx-1g,PdBialAlPils-NOx-1g,PdBialPPiech-NOx-1g,PdBialWaszyn-NOx-1g,PdBorsukowiz-NOx-1g,PdGrajewoWPoMOB-NOx-1g,PdLomSikorsk-NOx-1g,PkJasloSikor-NOx-1g,PkKrempnaMPN-NOx-1g,PkMielBierna-NOx-1g,PkNiskoSzkla-NOx-1g,PkPrzemGrunw-NOx-1g,PkRzeszPilsu-NOx-1g,PkRzeszRejta-NOx-1g,PmGdaLeczkow-NOx-1g,PmGdaWyzwole-NOx-1g,PmGdyPorebsk-NOx-1g,PmLebMalczew-NOx-1g,PmLinieKosci-NOx-1g,PmMalMickiew-NOx-1g,PmSopBiPlowc-NOx-1g,SkGoluUjWody-NOx-1g,SkKielTargow-NOx-1g,SkKielWarsz1-NOx-1g,SkNowiParkow-NOx-1g,SlBielKossak-NOx-1g,SlBielPartyz-NOx-1g,SlCzestoArmK-NOx-1g,SlCzestoBacz-NOx-1g,SlDabroTysia-NOx-1g,SlGoczaUzdroMOB-NOx-1g,SlJastrZdroj-NOx-1g,SlKatoKossut-NOx-1g,SlKatoPlebA4-NOx-1g,SlRybniBorki-NOx-1g,SlSosnoLubel-NOx-1g,SlTychyTolst-NOx-1g,SlUstronSana-NOx-1g,SlWodzGalczy-NOx-1g,SlZabSkloCur-NOx-1g,SlZlotPotLes-NOx-1g,SlZywieKoper-NOx-1g,WmElbBazynsk-NOx-1g,WmElkStadion-NOx-1g,WmKetrWojPolMOB-NOx-1g,WmOlsPuszkin-NOx-1g,WmOstrPilsud-NOx-1g,WmPuszczaBor-NOx-1g,WpBoroDrapal-NOx-1g,WpKaliSawick-NOx-1g,WpKoniWyszyn-NOx-1g,WpKozieosLes-NOx-1g,WpPiaskiKrzy-NOx-1g,WpPoznDabrow-NOx-1g,WpPoznSzwajc-NOx-1g,ZpKoszArKraj-NOx-1g,ZpKoszChopin-NOx-1g,ZpSwinMatejkMOB-NOx-1g,ZpSzczAndrze-NOx-1g,ZpSzczecPrze-NOx-1g,ZpSzczPilsud-NOx-1g,ZpWiduBulRyb-NOx-1g
01/01/23 01:00,2.0957599999999998,4.8306800000000001,6.2721999999999998,13.817399999999999,4.0796900000000003,4.35466,,11.3887,4.4480599999999999,75.566000000000003,7.2968400000000004,17.3704,14.3,12.6,4.5999999999999996,9.5,6,6.5,8.8000000000000007,7.9,8.3000000000000007,4.2,11.1,4.2,,10.9,5.8,5.4,8.9,9,13.6,7.3,8.6999999999999993,4.9000000000000004,10.8,14.2,8.9,12.882999999999999,,4,,7.2002600000000001,8.9060900000000007,5.0290900000000001,3.4251,282.86,8.7650000000000006,148.50299999999999,238.40799999999999,14.407500000000001,3.4399000000000002,3.9,10.580399999999999,12,29.915400000000002,107.455,7.7,4,3,10.1,6.37,17.670000000000002,7.8,12.96,66.209999999999994,7.93,9.1999999999999993,8.8000000000000007,10.0067,10.227499999999999,,,7.9,13.7,6.2,14,2.9,5.5,7,42.838700000000003,4.5662700000000003,9.9365600000000001,6.4611099999999997,4.98285,,9.3397400000000008,15.978300000000001,9.39133,6.17279,,9.6464999999999996,12.731,7.8714599999999999,5,14.7,22.7,10,,4.8267300000000004,14.226900000000001,7.7999000000000001,17.324100000000001,20.6418,27.143999999999998,30.2606,33.613300000000002,13.265000000000001,36.875,7.8386699999999996,9.2551400000000008,18.363700000000001,19.588999999999999,6.8152200000000001,6.19754,13.1875,11.731199999999999,,18.529900000000001,5.7051999999999996,4.7215499999999997,4.9290599999999998,9.7951599999999992,8.9758399999999998,17.000599999999999,4.0420299999999996,29.159099999999999,4.9775700000000001,,21.788599999999999,7.5258399999999996,23.0061,6.0041799999999999,17.8565,5.5819799999999997
01/01/23 02:00,1.6257299999999999,3.4232399999999998,4.2667200000000003,4.5006399999999998,3.13131,5.3462500000000004,,10.9351,5.6531500000000001,90.9315,5.8257599999999998,8.1316900000000008,17.899999999999999,9.1999999999999993,4,10,5.0999999999999996,2.4,8.1999999999999993,5.0999999999999996,6.9,1.9,10.3,3.3,,10,4.5,4.8,7,4.5999999999999996,15.2,12.4,4.7,13.1,6.9,13.7,5.2,5.2728700000000002,,4.4000000000000004,,5.4592900000000002,5.8,3.7639800000000001,3.0420500000000001,345.56400000000002,15.059699999999999,147.971,320.23500000000001,5.5108100000000002,3.69536,3.6,6.3511699999999998,10.6,11.283899999999999,191.869,6.3,3.9,3,6.4,3.87,13.87,6.4,10.56,61.61,5.23,6.2,4.9000000000000004,6.99716,6.2282400000000004,,,4.5,12.3,5.9,4.3,2.1,6,4.5,32.122700000000002,4.4457100000000001,7.2714400000000001,5.8625499999999997,4.4748799999999997,,5.8019999999999996,12.2698,19.430099999999999,4.5340400000000001,,9.6119000000000003,6.7789299999999999,7.6047099999999999,4,14.2,21.5,6,,4.2579599999999997,11.338200000000001,5.4619499999999999,16.875299999999999,8.3944100000000006,18.2803,16.135200000000001,45.022199999999998,12.187900000000001,16.074999999999999,6.70634,4.6100399999999997,14.0405,16.891999999999999,6.0987499999999999,5.2787100000000002,8.6454299999999993,8.3867799999999999,3.3905699999999999,3.4708100000000002,4.1718799999999998,4.3636499999999998,3.5796399999999999,7.0945,6.7295699999999998,17.084299999999999,3.0946699999999998,25.783300000000001,5.7352400000000001,,5.8050100000000002,3.2865199999999999,4.2117100000000001,3.08318,11.247199999999999,5.64093
01/01/23 03:00,1.66534,4.5051100000000002,2.9490400000000001,4.6456299999999997,9.1233299999999993,5.0833500000000003,,9.4544099999999993,6.3170400000000004,69.759799999999998,5.6439599999999999,5.7655900000000004,19.899999999999999,7.5,4,9.5,5.5,2.4,6.4,5.3,8.3000000000000007,1.6,9,3.6,,9.5,5.0999999999999996,4.7,5.9,5.0999999999999996,10.9,7,3.9,8,8.4,17.100000000000001,5.2,6.4705300000000001,,3.6,,5.4688499999999998,5.0999999999999996,3.7374299999999998,4.6312100000000003,603.56200000000001,18.2363,116.688,266.13299999999998,5.0460900000000004,3.3267699999999998,2.8,5.2475199999999997,9.3000000000000007,13.204800000000001,113.886,6.4,4.2,2.7,4.8,3.17,15.07,5.8,13.16,49.51,6.43,6.5,5.7,6.5918700000000001,6.4396300000000002,,,4.4000000000000004,8.6,4.7,3.4,2.4,4.8,9.8000000000000007,32.322699999999998,4.6137600000000001,7.5741800000000001,5.74092,3.8743699999999999,,4.8061699999999998,10.368499999999999,9.7998999999999992,10.6203,,9.6013000000000002,5.9010699999999998,4.2101899999999999,6,13,19.8,5,,4.3673500000000001,12.809900000000001,5.78911,15.979200000000001,8.2457999999999991,19.209199999999999,17.418900000000001,40.326799999999999,10.8485,15.1287,9.8616700000000002,4.1362899999999998,12.235200000000001,17.065100000000001,6.2809200000000001,5.4242400000000002,4.0810599999999999,8.0272100000000002,6.0881299999999996,3.6147399999999998,5.1013200000000003,4.2852499999999996,3.7421600000000002,7.48773,5.6431100000000001,8.2878000000000007,2.00943,25.729099999999999,4.7488799999999998,,5.7101899999999999,2.6444000000000001,3,3.1264400000000001,14.360200000000001,9.0357900000000004
01/01/23 04:00,2.1491799999999999,4.4111000000000002,2.3143600000000002,4.4353100000000003,14.9895,5.0945,,9.7529000000000003,2.18499,54.267899999999997,4.5477499999999997,5.2482899999999999,15.6,5.8,3.6,7.8,5.8,2.2999999999999998,5.8,5.2,11.3,1.5,8.3000000000000007,2.9,,8.4,4.7,4.5999999999999996,5.4,4.8,9,6.7,3.1,5.5,6.6,10.8,5.9,5.5548900000000003,,3.2,,5.6722700000000001,4.8,3.2583700000000002,3.8322400000000001,664.04200000000003,8.4861599999999999,,296.07499999999999,5.1809900000000004,3.6008200000000001,3,6.1419199999999998,9.1999999999999993,16.213100000000001,39.247199999999999,5.6,3.6,2.5,4.7,3.67,13.17,5.3,11.06,49.81,6.13,6,6.2,5.6907300000000003,5.5988800000000003,,,4.4000000000000004,7.8,4.4000000000000004,3.1,1.9,6.3,11.4,27.1312,3.5566300000000002,5.6813000000000002,5.7812900000000003,3.9724300000000001,,4.8683100000000001,10.053900000000001,4.9000300000000001,3.56331,,9.9196000000000009,5.7799199999999997,4.3340100000000001,6,16.2,16.2,6,,3.9651100000000001,12.001099999999999,5.3161899999999997,17.2879,7.8282299999999996,27.628699999999998,19.8689,49.383600000000001,15.3726,15.066000000000001,12.481299999999999,3.91683,19.319500000000001,18.465699999999998,7.0468000000000002,5.9223499999999998,9.3332200000000007,7.9321400000000004,8.2024799999999995,3.6253600000000001,4.2796900000000004,4.2186700000000004,3.9836999999999998,6.9035299999999999,4.9870099999999997,6.77569,1.98108,24.623899999999999,4.3878199999999996,,5.3710599999999999,2.5652699999999999,3.12453,3.4518,10.712,7.4132499999999997
01/01/23 05:00,1.7805899999999999,5.3277999999999999,3.5969899999999999,4.2712000000000003,11.4785,4.8724999999999996,,8.2708899999999996,4.5590599999999997,26.898700000000002,3.6130399999999998,5.3587600000000002,13.6,4.9000000000000004,3.6,7.6,4.5999999999999996,1.8,4.5999999999999996,6,7.7,1.7,8.6,3.1,,7.9,4.5999999999999996,4.7,5.5,5.3,7.7,5.8,2.8,5,5.9,8.6999999999999993,9.3000000000000007,6.5464799999999999,,3.2,,5.7832699999999999,5,2.83135,3.6240999999999999,238.93299999999999,17.3462,61.066600000000001,477.23500000000001,5.5851600000000001,4.02996,3.2,5.1816700000000004,8.1,16.055599999999998,30.7989,5.5,3.7,2.4,4.7,3.47,12.67,5,9.56,43.41,4.43,6.2,3.9,5.61191,6.7025300000000003,,,3.9,8.4,4.5,3.9,2.2999999999999998,5.4,4.2,38.067900000000002,3.9788600000000001,4.5128500000000003,5.8928200000000004,3.9624899999999998,,3.6393200000000001,10.313700000000001,4.9535400000000003,3.3492299999999999,,9.4370999999999992,6.3065199999999999,3.78071,3,20.2,29.2,7,,4.4843099999999998,13.8322,4.9753600000000002,20.6447,7.0146600000000001,17.977699999999999,22.2041,53.496699999999997,19.888400000000001,20.170100000000001,15.8988,3.5560399999999999,16.942699999999999,26.851800000000001,6.2363,5.8322900000000004,6.8800100000000004,7.9533899999999997,2.2763399999999998,3.5722499999999999,3.9068499999999999,3.9138999999999999,4.6417700000000002,5.4737600000000004,4.5219300000000002,6.6940400000000002,2.25177,24.744499999999999,4.17509,,5.6119000000000003,2.5573000000000001,4.7348600000000003,4.0093899999999998,11.366,4.49214
