Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
Kod stacji,DsJelGorOgin,DsLegAlRzecz,DsOsieczow21,DsWalbrzWyso,DsWrocWybCon,KpBydWarszaw,KpInowSolank,KpNaklWawrzy,KpToruDziewu,KpWloclKalis,KpZielBoryTu,LbBiaPodOrze,LbFlorianRPN,LbLubObywate,LbZamoHrubie,LdGajewUjWod,LdLodzGdansk,LdParzniUjWo,LdRadomsRoln,LdZgieMielcz,LuGorzKosGdy,LuSmolBytnic,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKrakBujaka,MpKrakBulwar,MpNoSaczNadb,MpNoTargAlTy,MpSkawOsOgro,MpSzymbaGorl,MpTarBitStud,MpTrzebOsZWM,MzBelsIGFPAN,MzBialaKmiciMOB,MzGutyDuCzer,MzOtwoBrzozo,MzPlocKroJad,MzPlocMiReja,MzRadTochter,MzWarChrosci,OpKKozBSmial,OpOpoleOsAKr,PdBialPPiech,PdBorsukowiz,PdLomSikorsk,PkKrempnaMPN,PkMielBierna,PkPrzemGrunw,PkRzeszRejta,PmGdaLeczkow,PmGdaWyzwole,PmGdyPorebsk,PmLinieKosci,PmMalMickiew,SkGoluUjWody,SkKielTargow,SkMaloSlonec,SkWloszKilinMOB,SlBielKossak,SlCzestoBacz,SlDabroTysia,SlGliwicMewy,SlKatoKossut,SlLublSzymal,SlRaciborzWPMOB,SlRybniBorki,SlTychyTolst,SlUstronSana,SlWodzGalczy,SlZabSkloCur,SlZlotPotLes,SlZorySikor2,SlZywieKoper,WmElbBazynsk,WmElkStadion,WmOlsPuszkin,WmPuszczaBor,WpKaliSawick,WpKozieosLes,WpPiaskiKrzy,ZpKoszChopin,ZpSzczecPrze,ZpSzczPilsud,ZpWiduBulRyb
Wskaźnik,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2,SO2
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
Jednostka,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Kod stanowiska,DsJelGorOgin-SO2-1g,DsLegAlRzecz-SO2-1g,DsOsieczow21-SO2-1g,DsWalbrzWyso-SO2-1g,DsWrocWybCon-SO2-1g,KpBydWarszaw-SO2-1g,KpInowSolank-SO2-1g,KpNaklWawrzy-SO2-1g,KpToruDziewu-SO2-1g,KpWloclKalis-SO2-1g,KpZielBoryTu-SO2-1g,LbBiaPodOrze-SO2-1g,LbFlorianRPN-SO2-1g,LbLubObywate-SO2-1g,LbZamoHrubie-SO2-1g,LdGajewUjWod-SO2-1g,LdLodzGdansk-SO2-1g,LdParzniUjWo-SO2-1g,LdRadomsRoln-SO2-1g,LdZgieMielcz-SO2-1g,LuGorzKosGdy-SO2-1g,LuSmolBytnic-SO2-1g,LuWsKaziWiel-SO2-1g,LuZarySzyman-SO2-1g,LuZielKrotka-SO2-1g,MpKrakBujaka-SO2-1g,MpKrakBulwar-SO2-1g,MpNoSaczNadb-SO2-1g,MpNoTargAlTy-SO2-1g,MpSkawOsOgro-SO2-1g,MpSzymbaGorl-SO2-1g,MpTarBitStud-SO2-1g,MpTrzebOsZWM-SO2-1g,MzBelsIGFPAN-SO2-1g,MzBialaKmiciMOB-SO2-1g,MzGutyDuCzer-SO2-1g,MzOtwoBrzozo-SO2-1g,MzPlocKroJad-SO2-1g,MzPlocMiReja-SO2-1g,MzRadTochter-SO2-1g,MzWarChrosci-SO2-1g,OpKKozBSmial-SO2-1g,OpOpoleOsAKr-SO2-1g,PdBialPPiech-SO2-1g,PdBorsukowiz-SO2-1g,PdLomSikorsk-SO2-1g,PkKrempnaMPN-SO2-1g,PkMielBierna-SO2-1g,PkPrzemGrunw-SO2-1g,PkRzeszRejta-SO2-1g,PmGdaLeczkow-SO2-1g,PmGdaWyzwole-SO2-1g,PmGdyPorebsk-SO2-1g,PmLinieKosci-SO2-1g,PmMalMickiew-SO2-1g,SkGoluUjWody-SO2-1g,SkKielTargow-SO2-1g,SkMaloSlonec-SO2-1g,SkWloszKilinMOB-SO2-1g,SlBielKossak-SO2-1g,SlCzestoBacz-SO2-1g,SlDabroTysia-SO2-1g,SlGliwicMewy-SO2-1g,SlKatoKossut-SO2-1g,SlLublSzymal-SO2-1g,SlRaciborzWPMOB-SO2-1g,SlRybniBorki-SO2-1g,SlTychyTolst-SO2-1g,SlUstronSana-SO2-1g,SlWodzGalczy-SO2-1g,SlZabSkloCur-SO2-1g,SlZlotPotLes-SO2-1g,SlZorySikor2-SO2-1g,SlZywieKoper-SO2-1g,WmElbBazynsk-SO2-1g,WmElkStadion-SO2-1g,WmOlsPuszkin-SO2-1g,WmPuszczaBor-SO2-1g,WpKaliSawick-SO2-1g,WpKozieosLes-SO2-1g,WpPiaskiKrzy-SO2-1g,ZpKoszChopin-SO2-1g,ZpSzczecPrze-SO2-1g,ZpSzczPilsud-SO2-1g,ZpWiduBulRyb-SO2-1g
01/01/23 01:00,8.2317099999999996,4.4217000000000004,6.2137200000000004,8.4913100000000004,13.254799999999999,3.9,1.3,7.3,3.5,0.8,3.8,8.4,,5.4,3.9,2.4,7.6,3,6.04,18.2,8.7401099999999996,1.23864,7.6938800000000001,16.2212,7.7177699999999998,9.4045100000000001,8.4044399999999992,4.0567900000000003,10.453099999999999,6.0704200000000004,0.77685999999999999,7.6282899999999998,13.0174,2.4147460000000001,4.7,0.1,2.2599999999999998,3.9,5.0999999999999996,4.4000000000000004,2.88,7.0954600000000001,5.3472900000000001,1,1,4,1.56349,5.51206,8.8363700000000005,2.1654200000000001,3.6292399999999998,5.8134199999999998,5.7876500000000002,1.2820499999999999,2.1504300000000001,4.4000000000000004,11,,8,5.2153,5.6283700000000003,12.368399999999999,11.543699999999999,17.1387,9.5704100000000007,11.696199999999999,8.4889500000000009,5.0047699999999997,4.2815700000000003,13.7735,19.892499999999998,4.7470400000000001,17.607600000000001,6.5400600000000004,11.8735,5.6125999999999996,10.934699999999999,0.64065000000000005,7.0905899999999997,3.6222599999999998,6.3525799999999997,8.6051000000000002,2.93275,6.7948199999999996,2.1786500000000002
01/01/23 02:00,6.8542800000000002,2.294,7.1816700000000004,8.6294799999999992,10.401300000000001,1.6,1.7,5.4,2.7,0.3,3.8,5.6,,5.2,2.6,2.4,5.2,4.0999999999999996,4.95,4.0999999999999996,8.59328,1.3662099999999999,6.2258800000000001,14.941599999999999,6.4557500000000001,6.2639300000000002,6.5849399999999996,2.92523,10.3477,4.1951200000000002,0.90542,5.2719699999999996,7.5319399999999996,2.3580730000000001,2.9,0.3,1.56,3.5,3.4,3.5,1.88,5.2907999999999999,4.8972800000000003,0.5,1,3.1,2.2078000000000002,2.0638299999999998,8.0731000000000002,1.26231,2.2216100000000001,4.7035499999999999,3.7098399999999998,1.78176,1.7568600000000001,5.2,9.6999999999999993,12.9,7.8,3.1333500000000001,3.67334,11.8735,12.2072,11.334899999999999,7.9727600000000001,7.53918,7.2503399999999996,5.40123,2.7514799999999999,7.2081200000000001,18.849900000000002,5.5749199999999997,9.7971500000000002,4.9784699999999997,12.651400000000001,5.2042200000000003,7.742,0.71492999999999995,4.8791500000000001,3.5177900000000002,5.4273499999999997,8.4344199999999994,1.49291,3.4653900000000002,2.0030899999999998
01/01/23 03:00,8.3577899999999996,2.1136300000000001,6.7856199999999998,8.1292600000000004,10.251200000000001,1.4,2.2000000000000002,5.6,2.6,0.3,3.9,5.5,,5.0999999999999996,2.4,2.5,3.8,4.8,5.87,2.9,6.9359500000000001,1.40164,5.2631100000000002,13.4009,6.4461399999999998,8.3741900000000005,,2.7350099999999999,10.3034,3.5714899999999998,0.71331,4.5648600000000004,8.4452099999999994,2.4469729999999998,3.5,0.2,1.46,3.1,3.4,3.1,1.68,4.9780899999999999,3.96088,0.1,0.7,3.2,1.3477300000000001,1.94242,8.5142199999999999,3.1581600000000001,2.6895899999999999,3.2444700000000002,4.7241099999999996,1.32064,1.7668900000000001,5.3,8.4,10.6,9,3.1693600000000002,3.9507099999999999,10.4076,9.4274799999999992,10.7157,7.8811400000000003,7.0875000000000004,5.8878899999999996,6.4864199999999999,3.4352200000000002,6.9441499999999996,18.266100000000002,4.7863499999999997,6.7435,6.1234099999999998,9.4215,5.5438099999999997,7.7736999999999998,0.80464999999999998,5.1893200000000004,2.5209199999999998,3.6499000000000001,10.864599999999999,1.3193900000000001,3.1439699999999999,3.1154500000000001
01/01/23 04:00,6.7774099999999997,3.8652299999999999,7.1971800000000004,7.01797,9.9093599999999995,0.9,2.1,4.8,2.2000000000000002,0.4,3.6,6,,5.0999999999999996,2.4,2.4,3.1,2.9,4.78,4.2,8.5862599999999993,1.15906,4.8774100000000002,11.9549,4.7747799999999998,5.6942399999999997,5.6840799999999998,3.0586000000000002,5.3137999999999996,3.4687899999999998,1.3650100000000001,4.0564999999999998,14.445,2.4021520000000001,3.3,0.1,1.06,3.2,3,3.5,1.68,4.7139199999999999,3.5365799999999998,0.4,0.9,2.9,1.4430499999999999,1.2098199999999999,7.8883799999999997,1.546,2.3357100000000002,2.88937,4.9514899999999997,1.84015,2.15496,4.9000000000000004,8.3000000000000007,10.9,8.9,3.0017800000000001,3.9649899999999998,9.3574599999999997,7.0233699999999999,10.327999999999999,7.6356799999999998,8.4675200000000004,9.5621200000000002,7.8416699999999997,3.3428300000000002,13.362299999999999,15.7135,5.1188799999999999,7.0273300000000001,6.9638299999999997,13.856999999999999,5.2169299999999996,7.6496000000000004,0.83486000000000005,4.8718599999999999,2.51139,3.5698099999999999,10.399900000000001,1.4134800000000001,2.4169100000000001,2.3575499999999998
01/01/23 05:00,7.7853500000000002,2.37981,6.0016600000000002,7.5846900000000002,9.5544600000000006,1.1000000000000001,2.2999999999999998,4.2,2,0.6,3.7,5.3,,4.9000000000000004,2.2000000000000002,2.4,3.3,2.6,3.97,,6.8969399999999998,1.13754,5.3347800000000003,12.5379,9.2280599999999993,5.6713399999999998,4.5084799999999996,2.40158,6.8773999999999997,3.50943,1.4389000000000001,3.80084,17.699100000000001,2.4380820000000001,1.4,0.1,1.36,3,2.8,3.2,1.78,4.9073000000000002,3.46225,0.6,0.8,2.8,1.97062,0.95801999999999998,8.1203900000000004,1.25101,2.4409900000000002,2.6932999999999998,4.2493499999999997,1.71227,1.7378100000000001,4.8,7.7,11.2,8.3000000000000007,2.7834099999999999,2.7223899999999999,8.8656000000000006,8.1419099999999993,11.1652,7.1106100000000003,8.3532700000000002,12.341900000000001,6.1411100000000003,3.2427299999999999,8.9675999999999991,15.404199999999999,4.2096200000000001,8.7317999999999998,7.2374900000000002,12.7667,5.2330300000000003,7.79,0.84626000000000001,3.4995799999999999,2.2018599999999999,4.02576,13.2342,1.83616,2.6880799999999998,1.2982
